시간,종목,RSI
2024-08-30 11:06:06,038530,28.57
2024-08-30 11:06:35,053050,20.00
2024-08-30 11:07:02,042510,14.29
2024-08-30 11:07:09,064480,22.92
2024-08-30 11:07:34,042510,21.43
2024-08-30 11:07:45,064480,23.40
2024-08-30 11:08:16,064480,6.52
2024-08-30 11:08:33,042510,15.38
2024-08-30 11:08:43,053050,26.09
2024-08-30 11:08:50,053050,29.17
2024-08-30 11:09:30,042510,13.33
2024-08-30 11:09:49,064480,14.29
2024-08-30 11:10:09,064480,11.63
2024-08-30 11:10:41,456070,26.32
2024-08-30 11:10:49,456070,23.81
2024-08-30 11:10:52,064480,17.07
2024-08-30 11:10:55,456070,25.00
2024-08-30 11:11:02,456070,16.67
2024-08-30 11:11:07,053080,27.91
2024-08-30 11:11:17,053050,25.00
2024-08-30 11:11:24,053050,26.47
2024-08-30 11:11:44,053080,26.09
2024-08-30 11:12:04,053050,28.57
2024-08-30 11:12:19,064480,17.50
2024-08-30 11:12:27,456070,29.41
2024-08-30 11:12:42,476080,20.00
2024-08-30 11:14:01,064480,21.43
2024-08-30 11:14:26,053050,26.83
2024-08-30 11:14:33,053050,25.00
2024-08-30 11:14:55,064480,16.33
2024-08-30 11:16:30,476080,23.53
2024-08-30 11:17:34,064480,17.02
2024-08-30 11:19:13,064480,19.57
2024-08-30 11:20:48,378800,29.17
2024-08-30 11:22:22,064480,20.00
2024-08-30 11:23:08,450080,22.73
2024-08-30 11:24:01,460470,24.14
2024-08-30 11:24:32,038530,20.00
